EVENT#  xtree0: 198  xtree1: 198
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.85022      2.85022      0.00000
        pimP      1.21157      1.21157      0.00000
        eleP      2.95435      2.95435      0.00000
          Q2      1.20197      1.20197      0.00000
           W      3.74510      3.74510      0.00000
           x      0.08378      0.08378      0.00000
           y      0.72129      0.72129      0.00000
          Mh      1.63483      1.63483      0.00000
          xF      0.04942      0.04942     -0.00000
      PhPerp      0.43347      0.43347      0.00000
  sin(theta)      0.89577      0.61942      0.27635
        PhiH      6.08647      6.08647      0.00000
        PhiR      3.31878      3.31878      6.28319

EVENT#  xtree0: 396  xtree1: 396
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.06637      2.06637      0.00000
        pimP      1.43123      1.43123      0.00000
        eleP      6.52671      6.52671      0.00000
          Q2      1.65751      1.65751      0.00000
           W      2.62041      2.62041      0.00000
           x      0.21685      0.21685      0.00000
           y      0.38427      0.38427      0.00000
          Mh      0.31414      0.31414      0.00000
          xF      0.67990      0.67990     -0.00000
      PhPerp      0.51420      0.51420      0.00000
  sin(theta)      0.91873      0.33766      0.58108
        PhiH      3.31533      3.31533      0.00000
        PhiR      0.96350      0.96350      6.28319

EVENT#  xtree0: 428  xtree1: 428
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.78575      2.78575      0.00000
        pimP      1.21332      1.21332      0.00000
        eleP      3.29750      3.29750      0.00000
          Q2      2.31541      2.31541      0.00000
           W      3.50263      3.50263      0.00000
           x      0.16896      0.16896     -0.00000
           y      0.68892      0.68892      0.00000
          Mh      0.65933      0.65933      0.00000
          xF      0.40889      0.40889     -0.00000
      PhPerp      0.41054      0.41054      0.00000
  sin(theta)      0.89923      0.36117      0.53806
        PhiH      3.96690      3.96690      6.28319
        PhiR      5.99992      5.99992      0.00000

EVENT#  xtree0: 800  xtree1: 800
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      3.14358      3.14358      0.00000
        pimP      1.08805      1.08805      0.00000
        eleP      5.36705      5.36705      0.00000
          Q2      2.82297      2.82297      0.00000
           W      2.80664      2.80664      0.00000
           x      0.28748      0.28748      0.00000
           y      0.49367      0.49367      0.00000
          Mh      1.70881      1.70881      0.00000
          xF      0.13043      0.13043     -0.00000
      PhPerp      0.41068      0.41068     -0.00000
  sin(theta)      0.84494      0.97861     -0.13367
        PhiH      0.35844      0.35844      6.28319
        PhiR      5.40567      5.40567      0.00000

EVENT#  xtree0: 1184  xtree1: 1184
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      2.94639      2.94639      0.00000
        pimP      1.27239      1.27239      0.00000
        eleP      5.44487      5.44487      0.00000
          Q2      3.38571      3.38571      0.00000
           W      2.67740      2.67740      0.00000
           x      0.34999      0.34999     -0.00000
           y      0.48633      0.48633      0.00000
          Mh      0.53394      0.53393      0.00000
          xF      0.64742      0.64742     -0.00000
      PhPerp      0.36061      0.36061      0.00000
  sin(theta)      0.88436      0.15769      0.72667
        PhiH      1.27493      1.27493      0.00000
        PhiR      4.65862      4.65862      0.00000

EVENT#  xtree0: 1265  xtree1: 1265
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      3.69986      3.69986      0.00000
        pimP      1.82545      1.82545      0.00000
        eleP      2.29155      2.29155      0.00000
          Q2      4.43752      4.43752      0.00000
           W      3.46901      3.46901      0.00000
           x      0.28462      0.28462      0.00000
           y      0.78382      0.78382     -0.00000
          Mh      0.75544      0.75544      0.00000
          xF      0.51372      0.51372     -0.00000
      PhPerp      0.44447      0.44447      0.00000
  sin(theta)      0.93004      0.24373      0.68630
        PhiH      2.81143      2.81143      0.00000
        PhiR      5.39754      5.39754      0.00000

EVENT#  xtree0: 1411  xtree1: 1411
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.34423      1.34423      0.00000
        pimP      3.36186      3.36186      0.00000
        eleP      2.09983      2.09983      0.00000
          Q2      4.08261      4.08261      0.00000
           W      3.57053      3.57053      0.00000
           x      0.25595      0.25595     -0.00000
           y      0.80190      0.80190      0.00000
          Mh      0.98441      0.98441      0.00000
          xF      0.31601      0.31601     -0.00000
      PhPerp      0.55231      0.55231      0.00000
  sin(theta)      0.89040      0.64838      0.24202
        PhiH      2.60061      2.60061      0.00000
        PhiR      1.35923      1.35923      0.00000

EVENT#  xtree0: 1456  xtree1: 1456
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.51080      1.51080      0.00000
        pimP      1.63922      1.63922      0.00000
        eleP      4.74696      4.74696      0.00000
          Q2      3.00845      3.00845      0.00000
           W      2.97580      2.97580      0.00000
           x      0.27391      0.27391      0.00000
           y      0.55217      0.55217      0.00000
          Mh      1.12039      1.12039      0.00000
          xF      0.13093      0.13093     -0.00000
      PhPerp      0.41505      0.41505      0.00000
  sin(theta)      0.99900      0.80553      0.19347
        PhiH      2.75561      2.75561      0.00000
        PhiR      0.90836      0.90836      6.28319

EVENT#  xtree0: 1831  xtree1: 1831
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.83156      1.83156      0.00000
        pimP      1.02735      1.02735      0.00000
        eleP      2.22466      2.22466      0.00000
          Q2      3.44541      3.44541      0.00000
           W      3.62652      3.62652      0.00000
           x      0.21922      0.21922      0.00000
           y      0.79013      0.79013      0.00000
          Mh      1.10363      1.10363      0.00000
          xF     -0.06283     -0.06283     -0.00000
      PhPerp      0.51660      0.51660      0.00000
  sin(theta)      0.95019      0.98356     -0.03338
        PhiH      4.85423      4.85423      0.00000
        PhiR      2.89863      2.89863      0.00000

EVENT#  xtree0: 1930  xtree1: 1930
         var       xtree0       xtree1         diff
     -------      -------      -------      -------
        pipP      1.78185      1.78185      0.00000
        pimP      1.09911      1.09911      0.00000
        eleP      2.45151      2.45151      0.00000
          Q2      1.81492      1.81492      0.00000
           W      3.78899      3.78899      0.00000
           x      0.11869      0.11869     -0.00000
           y      0.76873      0.76873      0.00000
          Mh      1.15674      1.15674      0.00000
          xF     -0.00790     -0.00790     -0.00000
      PhPerp      0.39018      0.39018      0.00000
