 #revent pip_E pip_th pip_phi pip_phiH pip_pT pip_z pip_Mx pip_xF pip_etaCM pip_etaBF pim_E pim_th pim_phi pim_phiH pim_pT pim_z pim_Mx pim_xF pim_etaCM pim_etaBF phiH_rad pT phiR1 phiR2
 21 0.5419461 0.4566543 -0.540419 4.8336714 0.2195909 0.1478146 2.3197229 0.0379215 0.1880136 0.6354569 0.6361269 0.4087192 -0.268776 1.0601700 0.2821309 0.1735023 2.2588726 0.0373734 0.1534736 0.6699969 0.1696146 0.1668456 4.4769905 4.5029563
 17 1.1282552 0.1824637 0.2385317 5.7980500 0.4300005 0.4552896 1.5514357 0.2308907 0.5233380 0.1065584 0.9073025 0.7937559 -0.940562 3.9565891 0.4612036 0.3661276 1.5834501 0.0927771 0.2049869 0.4249095 4.8313023 0.5399630 0.1915444 0.2732407
 11 0.2710554 0.4278379 1.0035101 4.1478347 0.0680433 0.0590124 2.6882166 -0.014040 -0.128291 0.9095855 1.7327007 0.2664998 1.4610860 4.9734735 0.4188168 0.3772323 2.2008855 0.2591542 0.7599650 0.0213289 4.8663255 0.4676382 1.9652764 3.0330057
 30 0.1868543 1.9754608 -1.169469 4.5350368 0.1153035 0.0335077 2.5433987 -0.292014 -1.637642 2.3503658 0.9878254 0.3224880 -1.291300 4.9831531 0.3131191 0.1771421 2.6854242 0.0761520 0.3345082 0.3782152 4.8639303 0.4200198 2.0759724 4.1421625
 27 1.8935080 0.2486062 0.0959209 0.2837550 0.1399543 0.5328325 1.6895588 0.4364299 1.6657317 -1.344614 0.4593480 1.5879352 1.1032648 4.0848006 0.4310261 0.1292603 1.3464582 -0.535717 -1.117948 1.4390656 4.3462871 0.3316915 0.7861983 0.8978068
 19 1.3423486 0.0381207 -1.162549 6.1673963 0.3663579 0.4442959 1.7813864 0.2948147 0.8044897 -0.023807 0.7429844 1.0981734 -0.950475 2.2528191 0.5828635 0.2459159 1.6034825 -0.216998 -0.418200 1.1988825 1.5793583 0.4101657 5.6883469 5.5865066
 16 0.7329750 0.1779154 -1.174978 0.9007671 0.1624527 0.1282708 2.9146717 0.0747851 0.5278955 0.3186659 2.4401636 0.0913922 -1.372959 5.6724207 0.3812472 0.4270292 2.3945563 0.3451857 1.1062012 -0.259639 6.0656966 0.4231739 2.1193634 1.5341838
 38 0.6137173 1.0884798 -0.798086 2.5521243 0.5035867 0.0796125 2.7170430 -0.316564 -0.942576 1.7189517 0.3008504 0.2678256 0.0269438 0.1960485 0.0958344 0.0390269 3.4121358 -0.033430 -0.347703 1.1240789 2.3978559 0.4410676 2.6701934 2.7642949
 13 0.5813974 0.5908711 -0.008905 3.8088926 0.2737177 0.0987126 3.0065839 -0.017390 -0.094034 1.2963163 1.1268703 0.3388687 -0.650495 3.0381243 0.2611132 0.1913259 2.9445057 0.1273805 0.6655817 0.5367002 3.4330687 0.4956261 4.9362745 4.2962849
 22 2.0006041 0.1341379 1.1019544 1.0331925 0.3101236 0.2407621 3.1936409 0.1867703 0.8951282 -0.131865 0.4748014 0.5469935 -0.018218 0.4512123 0.2657984 0.0571398 3.3548751 -0.089909 -0.530705 1.2939680 0.7652484 0.5518572 2.0614596 3.3973192
 39 0.7319200 0.1626570 0.8091019 5.9104902 0.0815740 0.2103819 2.1992074 0.1545739 0.9999503 -0.379398 0.1569302 3.0377177 -0.832981 3.5425241 0.0187140 0.0451077 2.0417744 -0.291744 -1.664206 2.2847585 5.7210202 0.0694286 6.0473288 0.0278864
 50 0.4636038 1.1836710 0.5845473 3.7866664 0.3813371 0.1061512 2.2651547 -0.222619 -0.714173 1.6294271 0.8126165 0.2986488 1.1713677 4.9195237 0.2226591 0.1860646 2.5139597 0.1082294 0.5544448 0.3608086 4.1875537 0.5167299 3.1740547 3.4488303
 45 1.4648901 0.2135478 -0.723122 4.7391345 0.1890057 0.3241409 2.3856222 0.2649573 1.2585816 -0.360024 1.6937308 0.0711278 0.7311421 5.998585 0.3661778 0.3747772 2.2510681 0.2745080 0.8850600 0.0134975 5.5973425 0.4606664 3.3852846 3.4644857
 49 0.3817065 0.5950524 1.4139856 5.3983729 0.2259783 0.0665194 2.7672374 -0.090824 -0.504882 1.1671974 0.5128039 0.2880992 -1.568656 1.6196944 0.1110667 0.0893656 2.8905417 0.0363167 0.3086049 0.3537099 5.8485829 0.1518282 5.1917920 5.2317623
 37 0.5132594 1.0407681 -1.064108 1.5615041 0.4259842 0.0603705 3.1407620 -0.269298 -0.998273 2.0729701 0.7054822 0.2632982 1.4560895 0.8048550 0.2071365 0.0829802 3.6441737 0.0216105 0.1680704 0.9066264 1.3197167 0.5938765 2.0381779 1.8775091
 59 0.5093177 1.6632079 0.0416340 4.0389120 0.4862372 0.1927214 1.1559596 -0.538967 -0.980791 1.4926105 0.3446053 0.2922908 0.2973651 5.3803699 0.1055143 0.1303957 1.9691634 0.0330490 0.2017383 0.3100809 4.2376395 0.5204676 3.8201826 3.7139650
 48 1.8955062 0.6031596 0.0013988 3.0723882 0.4246114 0.5436495 1.3962451 0.3451255 0.7336584 -0.691171 1.2450317 0.1573315 0.4481896 6.0131269 0.2958806 0.3570871 1.6424984 0.2089317 0.6218510 -0.579364 3.4854717 0.1470470 2.9899634 2.9689836
 66 0.2006837 0.7907360 1.0822738 3.4998978 0.0651525 0.0834640 1.9479473 -0.040666 -0.274937 0.8787950 1.3306690 0.2961965 0.8583229 6.2766254 0.0513692 0.5534232 1.5591241 0.4358247 1.8465886 -1.242731 4.3181034 0.0251118 3.3392833 3.4617283
 52 0.3817757 0.9620357 -0.244978 5.2036037 0.3095722 0.1083189 2.0804478 -0.193700 -0.671800 1.4515149 1.8358824 0.5860537 0.4130495 2.3138108 0.7235571 0.5208841 1.5544685 0.2372575 0.3978075 0.3819071 2.4938562 0.4307089 5.3801776 5.2857569
 43 1.4947106 0.3045373 0.2366083 1.2571277 0.3614124 0.4706646 1.7508535 0.3256796 0.8806513 -0.236258 1.2070515 0.3684180 -1.359638 4.6255507 0.2677464 0.3800845 1.8936225 0.2671909 0.9173886 -0.272996 0.7174480 0.1171737 1.3535871 1.3656353
