 #revent Q2 x W y Pe M xFm pT theta phiR_rad phiH_rad Ppip Ppim
198 1.2019709 0.0837762 3.7451019 0.7212880 2.9543467 1.6348308 0.0494171 0.4334653 2.4735939 3.3187763 6.0864719 2.8502235 1.2115662
396 1.6575069 0.2168457 2.6204126 0.3842730 6.5267064 0.3141395 0.6799041 0.5141978 2.7971651 0.9634967 3.3153260 2.0663676 1.4312257
428 2.3154052 0.1689649 3.5026304 0.6889155 3.2974959 0.6593292 0.4088939 0.4105397 2.7720735 5.9999166 3.9669048 2.7857528 1.2133158
800 2.8229722 0.2874756 2.8066439 0.4936749 5.3670463 1.7088056 0.1304349 0.4106830 1.7779959 5.4056748 0.3584365 3.1435776 1.0880482
1184 3.3857075 0.3499861 2.6774022 0.4863334 5.4448661 0.5339345 0.6474222 0.3606058 2.9832415 4.6586191 1.2749309 2.9463889 1.2723929
1265 4.4375212 0.2846174 3.4690073 0.7838164 2.2915464 0.7554409 0.5137249 0.4444718 2.8953798 5.3975401 2.8114312 3.6998621 1.8254528
1411 4.0826141 0.2559483 3.5705288 0.8019025 2.0998339 0.9844062 0.3160093 0.5523096 2.4361398 1.3592333 2.6006125 1.3442317 3.3618638
1456 3.0084461 0.2739062 2.9758020 0.5521737 4.7469589 1.1203850 0.1309302 0.4150519 2.2050267 0.9083643 2.7556110 1.5107954 1.6392205
1831 3.4454108 0.2192197 3.6265196 0.7901267 2.2246565 1.1036338 -0.0628272 0.5166011 1.7523513 2.8986279 4.8542282 1.8315647 1.0273479
1930 1.8149174 0.1186919 3.7889892 0.7687256 2.4515088 1.1567413 -0.0079028 0.3901847 1.1710643 6.2204743 0.0883714 1.7818547 1.0991149
2003 2.9719301 0.2631530 3.0334745 0.5677611 4.5817328 0.6541678 0.5126002 0.2885034 2.9425980 4.7829877 1.8364710 1.0710887 2.9432991
2108 4.3129612 0.3229813 3.1497598 0.6713261 3.4839432 1.5352985 0.5099125 0.0854411 3.0328189 0.8400633 4.0595101 2.5935331 3.7260223
2633 2.0569657 0.1592700 3.4261279 0.6492749 3.7176865 1.0636035 0.3189855 0.4197107 2.9260049 5.3167931 2.5203517 2.7820665 1.2204825
2675 7.3317121 0.6209633 2.3142256 0.5935740 4.3081155 0.8856642 -0.1633322 0.3320970 1.4723064 1.2186224 5.1519486 1.2853828 1.1528012
2722 2.8767792 0.4223148 2.1944263 0.3424567 6.9699590 0.8560740 0.5174997 0.2781634 2.5352009 4.7743570 4.1123001 1.7549117 1.4852965
2758 2.4481524 0.2630507 2.7819008 0.4678799 5.6404733 1.2950712 -0.1669429 0.4975151 1.6395185 0.2859819 2.3078095 1.3755169 1.1571154
2942 3.9680613 0.3956507 2.6346720 0.5041988 5.2554925 0.5013945 0.5094376 0.2017027 2.8371670 4.0496733 3.0919972 1.4914644 2.0047561
3100 2.0865479 0.2998028 2.3986541 0.3498872 6.8911953 0.7754786 0.3656556 0.4276523 2.3021703 5.2531485 4.6479992 1.2795076 1.3479215
3711 4.3470075 0.2697989 3.5560336 0.8100011 2.0139886 0.4740308 0.5319377 0.9067310 2.5953208 5.2944530 2.9896022 4.9218751 1.1495220
3795 6.7102087 0.5359157 2.5867281 0.6294699 3.9276190 0.5840073 0.0688893 0.4888189 2.0397889 5.8666870 3.8953919 1.4294523 1.0571225
3907 4.8426608 0.4925748 2.4226048 0.4942506 5.3609433 0.5666691 0.4150653 0.0493948 2.9528560 4.8301581 5.2968528 1.0536194 2.0474930
4117 4.2830439 0.3123847 3.2106247 0.6892840 3.2935895 0.7675546 0.0513243 0.7042671 1.9183752 0.7297570 5.4787841 1.7482720 1.1157106
4208 4.3059788 0.2739333 3.5062021 0.7902463 2.2233897 0.7732280 0.1705135 0.9825997 2.2617737 3.2493896 0.8247981 2.4156764 1.7258200
4337 3.1540484 0.2791268 3.0043307 0.5680704 4.5784533 0.4146546 0.3448952 0.5939260 2.4760747 4.6716914 3.0949236 1.1639089 1.9685096
4367 1.9939549 0.1287276 3.7915859 0.7787160 2.3456108 0.5340891 0.1632913 0.6511309 2.1909997 4.6584104 3.4260303 1.2932697 1.5520515
4387 1.3377453 0.0880049 3.8397162 0.7641914 2.4995710 1.0879343 0.4472145 0.5545737 2.6871558 1.8121793 3.6283204 2.1581412 3.1779290
4788 2.3798469 0.1557319 3.7124382 0.7682574 2.4564711 1.3705765 0.4316201 0.5051932 2.5518140 6.1458507 5.5173430 1.5554514 4.3003371
5010 2.5390957 0.2949905 2.6360275 0.4327195 6.0131731 0.9480754 0.3867542 0.4740924 2.8878848 2.0037973 4.8298456 2.3049665 1.0861820
5060 4.8717197 0.3359424 3.2419570 0.7290425 2.8721499 0.7813315 0.0385600 0.2557879 2.0032572 1.1097785 3.0240042 1.0102017 1.3318640
5348 3.1927327 0.3432726 2.6435749 0.4675831 5.6436192 0.2886552 0.4247655 0.6084283 2.5045759 3.6911179 2.6991303 1.8014739 1.2594168
5361 1.2977876 0.0816331 3.9345114 0.7992318 2.1281424 0.5480326 0.1639025 0.6874419 2.2331187 4.0294192 2.5060429 1.3316508 1.5951146
5661 2.1095374 0.1332955 3.8205808 0.7956226 2.1664003 0.7017459 0.3461790 0.4253066 2.6175872 5.6849044 4.3755735 1.9290971 2.1276987
6031 2.1866787 0.3054959 2.4189824 0.3598446 6.7856475 0.9916815 0.1765600 0.2562762 2.1560086 0.0442252 1.0961117 1.0843506 1.3161323
6244 5.9162063 0.4969740 2.6208027 0.5984736 4.2561793 0.7765978 -0.0394664 0.2476172 1.2485481 5.4210618 4.6186121 1.0706837 1.0463413
7252 2.4719889 0.2623631 2.7982814 0.4736735 5.5790609 0.4148324 0.4581746 0.4440251 2.6061209 1.8428871 2.4183644 1.3388140 1.7346719
8019 2.4067548 0.2078924 3.1702567 0.5820077 4.4307187 1.1114046 0.3956883 0.8313887 2.2554592 4.2385976 3.6238674 1.6610678 3.0031018
8008 2.3323962 0.2149736 3.0655581 0.5454471 4.8182606 0.3036112 0.5229269 0.8091457 2.5335034 2.3083151 2.9319708 1.5564577 2.5809319
8519 1.6341939 0.2730317 2.2872526 0.3009026 7.4104324 1.0506501 0.1494010 0.1871255 2.6021496 1.7502967 5.7574267 1.0460554 1.1433650
8526 2.8873447 0.2463258 3.1168350 0.5892833 4.3535965 0.7841380 0.4149122 0.7600382 2.3588767 0.6779015 1.4510283 1.5607868 2.6977642
8561 1.6879542 0.1509029 3.2215059 0.5623395 4.6392018 0.9268780 0.5290280 0.2606677 3.0584995 4.8428725 1.6390948 3.0882452 1.2682215
